Name,URL,Type,Thème,Rôle,Rationale,Statut,Bias,Reliability,In_Catalog
France Info,https://www.francetvinfo.fr/,Site,Société & Climat,Fréquence,"Service public d'information en continu.",À valider,center,high,true
TF1 Info,https://www.tf1info.fr/,Site,Société & Climat,Mainstream Deep,"Information grand public du groupe TF1.",À valider,center-right,medium,false
France Inter,https://www.radiofrance.fr/franceinter,Podcast,Société & Climat,Mainstream Deep,"Première radio de France, généraliste.",À valider,center-left,high,true
Public Sénat,https://www.publicsenat.fr/,Site,Géopolitique,Deep Dive,"Chaîne politique et parlementaire.",À valider,center,high,false
TV5 Monde,https://information.tv5monde.com/,Site,Géopolitique,Pluralité,"Le regard francophone mondial.",À valider,center,high,false
Sudinfo,https://www.sudinfo.be/,Site,Société & Climat,Fréquence,"Presse quotidienne belge francophone.",À valider,center,medium,false
France Bleu,https://www.francebleu.fr/,Site,Société & Climat,Proximité,"Le réseau des radios locales de service public.",À valider,center,high,false
Le Soir,https://www.lesoir.be/,Site,Géopolitique,Mainstream Deep,"Quotidien belge de référence.",À valider,center,high,false
Paris Match,https://www.parismatch.com/,Site,Culture & Idées,Divertissement,"Actualité et photojournalisme.",À valider,center-right,mixed,false
La Presse,https://www.lapresse.ca/,Site,Géopolitique,Mainstream Deep,"Grand média francophone du Québec.",À valider,center-left,high,false
20 Minutes,https://www.20minutes.fr/,Site,Société & Climat,Fréquence,"Information gratuite et concise.",À valider,center,medium,false
BFMTV,https://www.bfmtv.com/,Site,Société & Climat,Fréquence,"Chaîne d'info en continu.",À valider,center-right,mixed,false
CNEWS,https://www.cnews.fr/,Site,Société & Climat,Opinion,"Chaîne d'info et de débats.",À valider,right,mixed,false
RTL,https://www.rtl.fr/,Site,Société & Climat,Mainstream Deep,"Radio généraliste privée.",À valider,center-right,medium,true
Europe 1,https://www.europe1.fr/,Site,Société & Climat,Opinion,"Radio généraliste privée.",À valider,right,medium,true
Ouest-France,https://www.ouest-france.fr/,Site,Société & Climat,Proximité,"Premier quotidien régional français.",À valider,center,high,false
Sud Ouest,https://www.sudouest.fr/,Site,Société & Climat,Proximité,"Quotidien régional du Sud-Ouest.",À valider,center,high,false
La Voix du Nord,https://www.lavoixdunord.fr/,Site,Société & Climat,Proximité,"Quotidien régional du Nord.",À valider,center,high,false
Le Parisien,https://www.leparisien.fr/,Site,Société & Climat,Mainstream Deep,"Quotidien national et régional Île-de-France.",À valider,center-right,medium,false
La Croix,https://www.la-croix.com/,Site,Société & Climat,Deep Dive,"Quotidien catholique d'intérêt général.",À valider,center,high,false
L'Humanité,https://www.humanite.fr/,Site,Société & Climat,Opinion,"Journal d'opinion communiste/gauche radicale.",À valider,left,medium,false
Valeurs Actuelles,https://www.valeursactuelles.com/,Site,Société & Climat,Opinion,"Hebdomadaire conservateur.",À valider,right,mixed,false
BBC News,https://www.bbc.com/news,Site,Géopolitique,Mainstream Deep,"Service public britannique, référence mondiale.",À valider,center,high,false
CNN,https://edition.cnn.com/,Site,Géopolitique,Mainstream Deep,"Chaîne d'info américaine.",À valider,center-left,medium,false
The New York Times,https://www.nytimes.com/,Site,Géopolitique,Mainstream Deep,"Journal de référence américain.",À valider,center-left,high,false
The Guardian,https://www.theguardian.com/,Site,Société & Climat,Mainstream Deep,"Journal britannique de centre-gauche.",À valider,center-left,high,false
Al Jazeera (English),https://www.aljazeera.com/,Site,Géopolitique,Pluralité,"Perspective du Moyen-Orient.",À valider,center,medium,false
Reuters,https://www.reuters.com/,Site,Économie,Factuel,"Agence de presse mondiale, factuelle.",À valider,center,high,false
Associated Press,https://apnews.com/,Site,Géopolitique,Factuel,"Agence de presse américaine, factuelle.",À valider,center,high,false
Deutsche Welle,https://www.dw.com/,Site,Géopolitique,Pluralité,"Service public allemand international.",À valider,center,high,false
RFI,https://www.rfi.fr/,Site,Géopolitique,Pluralité,"Radio France Internationale.",À valider,center,high,false
L'Express,https://www.lexpress.fr/,Site,Économie,Mainstream Deep,"Hebdomadaire libéral.",À valider,center-right,high,false
Marianne,https://www.marianne.net/,Site,Société & Climat,Opinion,"Hebdomadaire souverainiste de gauche.",À valider,alternative,medium,false
Charlie Hebdo,https://charliehebdo.fr/,Site,Société & Climat,Satire,"Hebdomadaire satirique.",À valider,left,mixed,false
Le HuffPost,https://www.huffingtonpost.fr/,Site,Société & Climat,Mainstream Deep,"Pure player d'info.",À valider,left,medium,false
Slate.fr,https://www.slate.fr/,Site,Culture & Idées,Deep Dive,"Magazine d'analyse et de société.",À valider,center-left,high,false
Konbini,https://www.konbini.com/,Site,Culture & Idées,Divertissement,"Média pop culture et jeunesse.",À valider,left,medium,false
Brut,https://www.brut.media/fr,Site,Société & Climat,Divertissement,"Vidéo sociale et engagée. Racheté récemment par milliardaire à droite.",À valider,center-left,medium,true
Loopsider,https://loopsider.com/,Site,Société & Climat,Divertissement,"Vidéo sociale d'investigation.",À valider,left,medium,false
Blast,https://www.blast-info.fr/,Site,Société & Climat,Opinion,"Web TV indépendante engagée.",À valider,left,mixed,true
Livre Noir,https://livrenoir.fr/,Site,Société & Climat,Opinion,"Média indépendant de droite radicale.",À valider,right,mixed,false
Front Populaire,https://frontpopulaire.fr/,Site,Société & Climat,Opinion,"Revue souverainiste.",À valider,alternative,medium,false
Midi Libre,https://www.midilibre.fr/,Site,Société & Climat,Proximité,"PQR Occitanie.",À valider,center,high,false
La Montagne,https://www.lamontagne.fr/,Site,Société & Climat,Proximité,"PQR Auvergne-Limousin.",À valider,center,high,false
Le Télégramme,https://www.letelegramme.fr/,Site,Société & Climat,Proximité,"PQR Bretagne.",À valider,center,high,false
Nice-Matin,https://www.nicematin.com/,Site,Société & Climat,Proximité,"PQR Côte d'Azur.",À valider,center,high,false
La Dépêche,https://www.ladepeche.fr/,Site,Société & Climat,Proximité,"PQR Midi-Pyrénées.",À valider,center,high,false
L'Est Républicain,https://www.estrepublicain.fr/,Site,Société & Climat,Proximité,"PQR Lorraine/Franche-Comté.",À valider,center,high,false
Dernières Nouvelles d'Alsace,https://www.dna.fr/,Site,Société & Climat,Proximité,"PQR Alsace.",À valider,center,high,false
Le Dauphiné Libéré,https://www.ledauphine.com/,Site,Société & Climat,Proximité,"PQR Alpes.",À valider,center,high,false
