Name,URL,Type,Thème,Rôle,Rationale,Statut,Bias,Reliability,In_Catalog,Tone,Serein_Default
Les Pieds sur Terre,https://www.radiofrance.fr/franceculture/podcasts/les-pieds-sur-terre,Podcast,Société & Climat,Mainstream Deep,"La narration pure du réel. Anti-débat d'opinion.",À tester,center,high,true,,false
Guerres de Business,https://wondery.com/shows/guerres-de-business/,Podcast,Économie,Mainstream Deep,"Le 'Netflix' de la stratégie d'entreprise.",À tester,center,high,true,,false
Le Collimateur,https://www.irsem.fr/le-collimateur.html,Podcast,Géopolitique,Angle Mort,"Comprendre les conflits par la technique militaire (IRSEM).",À tester,specialized,high,true,,false
Transfert,https://www.slate.fr/podcasts/transfert,Podcast,Société & Climat,Mainstream Deep,"La complexité humaine par le récit intime et l'analyse psy.",À tester,center,high,true,,false
La Science CQFD,https://www.radiofrance.fr/franceculture/podcasts/la-science-cqfd,Podcast,Tech & Futur,Mainstream Deep,"La densité scientifique rendue accessible et chaleureuse.",À tester,specialized,high,true,,false
Mécaniques du Complot,https://www.radiofrance.fr/franceculture/podcasts/mecaniques-du-complot,Podcast,Société & Climat,Contre-intuitif,"L'antidote historique à la désinformation.",À tester,specialized,high,true,,false
Le Dessous des Cartes,https://www.arte.tv/fr/videos/RC-014036/le-dessous-des-cartes/,YouTube,Géopolitique,Mainstream Deep,"L'indispensable contextuelle par la carte.",À tester,specialized,high,true,,false
ScienceEtonnante,https://www.youtube.com/user/ScienceEtonnante,YouTube,Tech & Futur,Mainstream Deep,"La référence hard science qui clarifie sans simplifier.",À tester,specialized,high,true,,false
Heu?reka,https://www.youtube.com/channel/UC7sXGI8p8PvKosLWagkK9wQ,YouTube,Économie,Mainstream Deep,"L'économie et la finance décomplexées.",À tester,specialized,high,true,,false
Fouloscopie,https://www.youtube.com/channel/UCLXDAkJ3rTe0khbCV1Q7hSA,YouTube,Société & Climat,Contre-intuitif,"Comprendre les foules et l'opinion à l'ère des réseaux.",À tester,specialized,high,true,,false
Monsieur Bidouille,https://www.youtube.com/user/monsieurbidouille,YouTube,Tech & Futur,Angle Mort,"La critique matérielle et politique de la tech (énergie, DIY).",À tester,left,high,true,,false
Bon Pote,https://bonpote.com/,Site,Société & Climat,Mainstream Deep,"L'urgence climatique sourcée mais incarnée.",À tester,left,high,true,,false
Epsiloon,https://www.epsiloon.com/,Site,Tech & Futur,Mainstream Deep,"Le contre-pied narratif sur la science actuelle.",À tester,specialized,high,true,,false
Nouveau Départ,https://nouveaudepart.co/,Newsletter,Économie,Angle Mort,"La vision anglo-saxonne/libérale-sociale sur la transition.",À tester,center-left,high,true,,false
TechTrash,https://www.techtrash.fr/,Newsletter,Tech & Futur,Contre-intuitif,"Le poil à gratter de la start-up nation.",À tester,alternative,high,true,,false
Le 1 Hebdo,https://le1hebdo.fr/,Site,Culture & Idées,Mainstream Deep,"Un seul sujet, plusieurs regards. L'essence de l'Architecte.",À tester,center,high,true,,false
Le Monde Diplomatique,https://www.monde-diplomatique.fr/,RSS,Géopolitique,Mainstream Deep,"L'analyse structurelle de référence.",À tester,left,high,true,,false
The Conversation,https://theconversation.com/fr,Site,Culture & Idées,Mainstream Deep,"L'expertise académique directe sans filtre journaliste.",À tester,specialized,high,true,,false
Le Grand Continent,https://legrandcontinent.eu/fr/,Site,Géopolitique,Angle Mort,"La revue de référence pour l'élite intellectuelle européenne.",À tester,center,high,true,,false
Courrier International,https://www.courrierinternational.com/,RSS,Géopolitique,Mainstream Deep,"Voir la France et le monde par les yeux des autres.",À tester,center,high,true,,false
Philosophie Magazine,https://www.philomag.com/,Site,Culture & Idées,Contre-intuitif,"Le pas de côté ultime pour donner du sens à l'actu.",À tester,alternative,high,true,,false
Socialter,https://www.socialter.fr/,Site,Tech & Futur,Angle Mort,"La critique de l'économie numérique et les imaginaires alternatifs.",À tester,left,high,true,,false
Alternatives Économiques,https://www.alternatives-economiques.fr/,Site,Économie,Mainstream Deep,"L'économie sociale et critique pour équilibrer le mix.",À tester,left,high,true,,false
Contrepoints,https://www.contrepoints.org/,Site,Économie,Pluralité,"Le libéralisme classique en analyses économiques et politiques.",À tester,center-right,medium,true,,false
L'Incorrect,https://lincorrect.org/,Site,Société & Climat,Pluralité,"Mensuel conservateur : culture et politique de droite traditionnelle.",À tester,right,medium,true,,false
Le Figaro,https://www.lefigaro.fr/,Site,Géopolitique,Pluralité,"La référence de la droite institutionnelle.",À tester,right,medium,true,,false
Les Échos,https://www.lesechos.fr/,Site,Économie,Fréquence,"L'info éco de référence quotidienne.",À tester,center-right,medium,true,,false
Revue Commentaire,https://www.commentaire.fr/,Site,Culture & Idées,Deep Dive,"L'analyse intellectuelle libérale-classique de haute volée.",À tester,right,medium,true,,false
Politico Europe,https://www.politico.eu/,Site,Géopolitique,Fréquence,"Le pouls de la politique européenne et breaking news.",À tester,center,high,true,,false
Le Point,https://www.lepoint.fr/,Site,Société & Climat,Pluralité,"L'hebdo de centre-droit pour le contre-point société.",À tester,center-right,medium,true,,false
Le Monde,https://www.lemonde.fr/,RSS,Géopolitique,Mainstream Deep,"La référence du quotidien de soir.",À tester,center-left,high,true,,false
Mediapart,https://www.mediapart.fr/,Site,Société & Climat,Angle Mort,"L'investigation indépendante et engagée.",À tester,left,high,true,,false
Libération,https://www.liberation.fr/,Site,Société & Climat,Pluralité,"Le grand quotidien de gauche.",À tester,left,high,true,,false
Reporterre,https://reporterre.net/,Site,Société & Climat,Mainstream Deep,"Le quotidien de l'écologie.",À tester,left,high,true,,false
Le Canard Enchaîné,https://www.lecanardenchaine.fr/,Site,Société & Climat,Angle Mort,"L'hebdomadaire satirique et d'investigation.",À tester,left,high,true,,false
Sismique,https://www.sismique.world/,Podcast,Société & Climat,Mainstream Deep,"Le podcast pour explorer les enjeux d'un monde en mutation.",À tester,specialized,high,true,,false
Le Gorafi,https://www.legorafi.fr/,RSS,Culture & Idées,Actu Décalée,"Le site d'information parodique de référence.",À tester,center,high,true,satirical,true
Nordpresse,https://nordpresse.be/,RSS,Culture & Idées,Actu Décalée,"Le Gorafi belge — satire et parodie d'actualité.",À tester,center,high,true,satirical,true
Sophia Aram,https://www.radiofrance.fr/franceinter/podcasts/le-billet-de-sophia-aram,Podcast,Culture & Idées,Actu Décalée,"L'humour engagé et l'analyse mordante de l'actu.",À tester,center-left,high,true,humorous,true
Tanguy Pastureau,https://www.radiofrance.fr/franceinter/podcasts/tanguy-pastureau-maltraite-l-info,Podcast,Culture & Idées,Actu Décalée,"L'actu maltraitée avec brio par Tanguy Pastureau.",À tester,center,high,true,humorous,true
Charline Vanhoenacker,https://www.radiofrance.fr/franceinter/podcasts/c-est-encore-nous,Podcast,Culture & Idées,Actu Décalée,"L'actu décalée et impertinente de France Inter.",À tester,center-left,high,true,humorous,true
Quotidien - Yann Barthès,https://www.youtube.com/@Abordelintégrale,YouTube,Culture & Idées,Actu Décalée,"Le talk-show d'actu pop et décalé de TMC.",À tester,center-left,high,true,humorous,true
Broute,https://www.youtube.com/@BrouteOfficiel,YouTube,Culture & Idées,Actu Décalée,"Les sketchs satiriques de Canal+ sur l'actu.",À tester,center,high,true,satirical,true
Last Week Tonight,https://www.youtube.com/@LastWeekTonight,YouTube,Culture & Idées,Actu Décalée,"John Oliver décrypte l'actu mondiale avec humour.",À tester,center-left,high,true,humorous,true
Topito,https://www.topito.com/,RSS,Culture & Idées,Actu Décalée,"Les tops et listes décalées sur l'actu et la culture pop.",À tester,center,high,true,humorous,true
